nuts,population
HUXXX,0.00
HUXX,0.00
HUX,0.00
FRXXX,0.00
FRXX,0.00
FRX,0.00
ALXXX,0.00
ALXX,0.00
ALX,0.00
MKXXX,179.00
MKXX,179.00
MKX,179.00
ES703,11154.00
CH054,16145.00
EL643,18814.00
AT321,20320.00
UKM65,22055.00
ES706,22100.00
UKM66,23125.00
EL624,23845.00
UKM64,26688.00
FI200,29789.00
FI20,29789.00
FI2,29789.00
AT331,32670.00
MT002,33388.00
DEB3A,34209.00
DEG04,34835.00
CH062,36433.00
AT111,37513.00
CH064,37841.00
LI000,38378.00
LI00,38378.00
LI0,38378.00
LI,38378.00
EL623,38718.00
DK014,39662.00
EL621,39737.00
DEB37,40403.00
CH051,40403.00
DE255,40792.00
DE243,41249.00
DE251,41847.00
DE231,41970.00
DEG0N,42370.00
EL645,42436.00
DE233,42520.00
CH065,43223.00
DE274,43837.00
DE272,43893.00
HR032,44834.00
EL542,45064.00
DE244,45930.00
NL112,46051.00
EL532,46668.00
DEB33,46677.00
DE223,47794.00
EL412,48238.00
DE934,48424.00
DEB31,48561.00
AT333,48753.00
BE342,49125.00
EL533,49519.00
DE942,50195.00
DEB38,50378.00
BE252,51560.00
DE222,52469.00
SI038,52544.00
DEB36,53148.00
BE345,53791.00
DE262,54032.00
DE121,55123.00
CH053,55234.00
DEG0H,56196.00
ITG2A,56362.00
DE94H,56882.00
SI035,56962.00
BE343,57283.00
DE403,57873.00
EL413,58055.00
SE214,59249.00
DEB24,60603.00
AL033,61423.00
DEB1C,61587.00
BE258,61707.00
BE341,63062.00
DE213,63324.00
BE344,63424.00
DEG0E,63553.00
DEG05,65090.00
DE24C,66838.00
HR049,67028.00
DE24A,67135.00
BE353,67180.00
FI1D5,68437.00
DE273,68907.00
DEG0D,69655.00
UKL11,70073.00
DEB3G,70526.00
DE261,70527.00
SI033,70588.00
DE926,70975.00
DE24B,71845.00
DE401,72124.00
DE221,72404.00
DE23A,72504.00
FI1D8,73061.00
DE24D,73178.00
CH025,73419.00
EL432,74006.00
HR048,74521.00
DE242,74657.00
DEG0A,75009.00
DEB3D,75101.00
SI036,75559.00
NO073,75863.00
DE945,76278.00
FRJ14,76401.00
DE40F,76508.00
BE324,76520.00
AL013,76594.00
DE241,77592.00
DE941,77607.00
DE229,77656.00
BE336,77903.00
DE225,78355.00
DEF04,79487.00
DE266,79690.00
AT222,79901.00
EL523,80475.00
DEB15,80720.00
PT16H,80782.00
DEG0K,80868.00
DEE01,81237.00
BE334,81498.00
DE27A,81669.00
DEG0G,81947.00
CH052,81991.00
TRA13,82274.00
DEG0J,83051.00
DEB39,83330.00
RS229,83743.00
DEE04,83765.00
DEG07,83822.00
RS226,84244.00
ITF21,84379.00
DE267,84599.00
ES640,84689.00
ES64,84689.00
ES707,84793.00
ES630,84829.00
ES63,84829.00
BG311,84865.00
BE233,85378.00
PT11B,86466.00
DE247,86906.00
BE321,87125.00
6-Dec,87397.00
EL433,87582.00
TRB14,88198.00
DE21D,88467.00
DE94G,88624.00
ES417,89501.00
DEF01,89504.00
DEE06,89928.00
DEG0M,90118.00
DE268,90909.00
DE917,91307.00
AT341,91889.00
DE93A,92572.00
BE257,93040.00
PT181,93259.00
LT027,93695.00
DEG02,94152.00
DE237,94352.00
DE25C,94393.00
UKM61,94917.00
DEB3K,95113.00
DE249,95311.00
DE804,95818.00
DE277,96021.00
DE22C,96217.00
ES533,96620.00
DE21I,96680.00
ITG2B,96774.00
DE71B,96798.00
EL514,96845.00
AT113,96939.00
DEG0L,98159.00
DE94A,98460.00
DEB23,98561.00
TRA24,98907.00
DE40D,99078.00
HR034,99633.00
AT226,99663.00
DE21F,99726.00
DEB32,99845.00
UKM63,100012.00
DE402,100219.00
DE25A,100364.00
DEG06,100380.00
DE22B,100649.00
DE737,101017.00
EL622,101569.00
DE407,102638.00
DEG09,102912.00
DEB1D,102937.00
DE234,103109.00
DE265,103218.00
2-Dec,103366.00
DE246,103656.00
AT334,104418.00
DE912,104948.00
BG424,105421.00
PT186,105479.00
NL341,105499.00
DE215,105722.00
DE725,105878.00
DEB3F,106057.00
DEG0I,106356.00
UKC13,106522.00
BE253,106551.00
RS223,106917.00
HR045,107076.00
HR047,107186.00
PT11E,107860.00
BG322,108404.00
DEG0F,108742.00
BG325,109271.00
HR046,109537.00
NO052,109774.00
DEB3H,110356.00
DE40B,110476.00
EL527,110593.00
DEB21,110636.00
EL513,110666.00
DEA18,110994.00
DE214,111210.00
DEG03,111407.00
BG334,111597.00
EL512,111631.00
DE252,111962.00
DEE0D,111982.00
DE119,112010.00
RS221,112085.00
BE351,112159.00
BG324,112229.00
DEB22,112262.00
UKM94,112461.00
DE936,113517.00
BE331,113528.00
DE502,113634.00
DEB11,114024.00
SI031,114287.00
DE40G,114429.00
EL411,114805.00
SI044,115016.00
DE26B,115106.00
UKM91,115230.00
DE21G,115250.00
DE248,116099.00
HR04D,116166.00
PT184,116557.00
UKN16,117051.00
FRI22,117071.00
DEA31,117383.00
DE258,117387.00
SI043,117616.00
NO041,117655.00
DE12C,117935.00
BG343,118897.00
AL011,118948.00
BG415,119041.00
DE224,119326.00
DE40I,119552.00
DE91B,119960.00
DE21E,120071.00
DE22A,120659.00
DE733,120829.00
BG414,120880.00
EL541,120936.00
DE927,121386.00
HR037,121425.00
EL641,122256.00
DE226,122258.00
DEB1A,122308.00
DEG0B,122347.00
ES704,122629.00
EE006,122922.00
DEG0P,123025.00
DE946,124071.00
UKL12,124147.00
DE913,124151.00
ITG2C,124239.00
AT212,124252.00
BE235,124402.00
HR043,124786.00
BG315,124873.00
AT125,124967.00
AL031,125157.00
AL014,125195.00
DE129,125542.00
ITC20,125666.00
ITC2,125666.00
DE278,125747.00
DEE0E,125840.00
DE117,125960.00
DE144,126329.00
DE26A,126365.00
EL422,126786.00
CH066,126837.00
DE25B,126958.00
LT029,127029.00
DE21J,127151.00
DE216,127227.00
DE253,127748.00
DE263,127880.00
DE235,127882.00
DEF0A,128647.00
DEB13,128705.00
DE713,128744.00
FI1C5,128756.00
DE269,128756.00
IS002,128760.00
DEB3E,129075.00
DEB3B,129244.00
BG312,129637.00
DEB12,129727.00
DE94D,130144.00
SE322,130280.00
DE149,130873.00
DEF0E,131347.00
EL525,131879.00
LT028,132082.00
UKL24,132093.00
3-Dec,132206.00
DE11B,132321.00
DE219,132341.00
DE11C,132472.00
DEB3C,132660.00
NL133,132684.00
DE918,132765.00
DEF05,133210.00
ES242,133298.00
EL515,133391.00
DE27D,133496.00
DE236,133561.00
DE275,133596.00
DE91A,133965.00
DEA59,134775.00
DE21N,135348.00
DEG0C,135452.00
NL125,135764.00
LT021,135906.00
UKK42,136051.00
DE21L,136092.00
RS124,136183.00
EE007,136240.00
DEE0A,136249.00
DE257,136271.00
DE94B,136511.00
DE93B,136792.00
DE211,136981.00
DE916,137014.00
EL524,137181.00
DE21A,137660.00
LT024,138678.00
HR04A,138804.00
UKN15,138948.00
UKD42,139098.00
ITH43,139403.00
DE135,139455.00
DE938,139755.00
DE137,140152.00
DE27B,140316.00
DEA44,140667.00
FRC24,141085.00
EL521,141585.00
DE94F,141598.00
UKJ34,141606.00
FRL02,141651.00
DE218,142142.00
TRC13,142541.00
UKN13,142565.00
5-Dec,142631.00
DE127,143535.00
FRK12,143592.00
SI037,144032.00
DE27C,144041.00
UKN12,144367.00
FI1D1,144615.00
UKN14,144771.00
NL111,146803.00
DE245,147086.00
DE239,147189.00
EL511,147190.00
HR04E,147216.00
BE327,147634.00
EL652,147739.00
UKN11,148378.00
DE923,148559.00
UKD41,148753.00
UKM92,148871.00
EE004,148940.00
DEB25,148945.00
AT213,149159.00
UKN10,150557.00
ES708,150998.00
MK001,152020.00
BE326,152358.00
HR04C,152494.00
DE232,152610.00
FRJ21,152750.00
PT187,152865.00
BG425,152873.00
BE256,153394.00
ITG26,153448.00
DE217,153884.00
ES416,154095.00
DEB3I,154201.00
DE27E,155362.00
AT123,155446.00
AT314,155486.00
ITI42,155503.00
NL212,155539.00
EL633,155576.00
DEA55,156374.00
DE80M,156729.00
DE736,156953.00
BE255,157293.00
DE928,157781.00
DEB14,158080.00
ITC14,158349.00
DE12A,158397.00
ITG28,158513.00
DE227,158698.00
AT112,158981.00
AT223,159044.00
CH063,159165.00
DE711,159207.00
ES411,159260.00
DEA19,159360.00
EL644,159387.00
EL434,159576.00
SE221,159684.00
DEE05,159854.00
ITF64,160073.00
DE125,160355.00
ES414,160701.00
FRM01,160760.00
UKN09,160975.00
UKM76,161029.00
ITG29,161360.00
DE26C,161834.00
DE408,161909.00
FI1D3,162240.00
BG313,162549.00
TR906,162748.00
RS212,162887.00
DE937,163455.00
DEA24,163838.00
DE944,164748.00
ITG16,164788.00
FRL01,164843.00
DE133,165383.00
DEF07,165507.00
HR044,166658.00
RS222,166777.00
NO072,167202.00
EL526,167374.00
EL543,167696.00
NL132,167968.00
ES531,167992.00
HR033,168031.00
AT322,168035.00
DE943,168210.00
DE40H,168296.00
DE406,169067.00
DE948,169348.00
DE94C,169809.00
DE259,170365.00
DE13A,170619.00
EL531,170821.00
DEA16,170880.00
ITC12,170911.00
DEB34,171061.00
FI1C2,171364.00
FRF24,171401.00
DEE07,171734.00
DE723,172083.00
RS121,172110.00
NL325,172214.00
BG333,172355.00
UKH24,173237.00
MK004,173304.00
NO034,173318.00
FI1C4,173388.00
UKH32,173405.00
FRJ25,173521.00
ES419,173632.00
ITI35,173800.00
BG332,173831.00
TR905,174010.00
DE279,174200.00
DE264,174208.00
RS126,174732.00
MK002,174876.00
ITF62,174980.00
ITC13,175585.00
DE914,175920.00
MK007,176155.00
CH024,176850.00
DE21M,177089.00
UKG21,177450.00
DE404,178089.00
EL651,178244.00
FI1D7,178522.00
DE40C,178658.00
RS125,178853.00
DE931,178936.00
DEA54,179111.00
DE21B,179116.00
DEE08,180190.00
DE735,180222.00
EL306,180485.00
FRM02,180794.00
FI195,180794.00
UKN08,180825.00
ITC44,181095.00
DEB18,181941.00
DE405,182760.00
UKM78,183025.00
DE935,183372.00
UKH31,183453.00
FRF32,183633.00
DE256,183949.00
DEE0B,184582.00
PL618,185908.00
RS227,185950.00
LV008,186095.00
BG342,186495.00
DE71D,187157.00
NL126,187255.00
NO042,187589.00
DEA53,188814.00
DE143,188935.00
HU313,189304.00
AL035,189311.00
NO022,189545.00
FI194,189715.00
DE947,189848.00
FRJ24,190354.00
DEE0C,190560.00
PT11D,191101.00
BE325,191391.00
NL131,191515.00
DE228,192043.00
UKG11,192214.00
DEA28,192840.00
DE238,193572.00
DE409,194328.00
RO225,194421.00
AT225,194466.00
CH031,194766.00
ITI11,194878.00
4-Dec,195201.00
DE11A,195861.00
DE145,196047.00
RS228,196971.00
DEF06,197264.00
NO021,197406.00
TRA23,197456.00
DED53,197673.00
ITF52,197909.00
UKM73,197947.00
NL323,197988.00
DE932,198213.00
CH056,198379.00
RS215,198646.00
DE12B,198905.00
TR813,198999.00
RS214,199330.00
ES423,199628.00
DE146,199742.00
SE212,199886.00
RS224,199946.00
DEF0C,200025.00
DEF08,200581.00
EL631,200617.00
FI1C3,200629.00
BE232,201299.00
DE731,201585.00
DEB1B,201597.00
UKH11,201799.00
FRC12,202115.00
RO123,202146.00
AL015,202895.00
ITH33,202950.00
DE939,203102.00
EL613,203162.00
EL62,203869.00
UKM62,204193.00
BE223,204289.00
SI042,204670.00
ITI34,207179.00
AL034,207889.00
DE803,208886.00
HR036,209020.00
AT313,209304.00
UKE21,210235.00
BE335,210512.00
UKD61,210829.00
DEA17,210829.00
DEB3J,210889.00
DE40A,211249.00
RO116,211691.00
DE136,212381.00
DE80O,212618.00
UKL13,212675.00
EL642,213067.00
PT16J,213326.00
DEG01,213699.00
ITC31,213840.00
DEB17,214259.00
DEE09,214446.00
LT025,214617.00
ITC17,214638.00
DE40E,214664.00
UKG32,215055.00
DE80K,215113.00
UKN07,215246.00
UKJ31,216023.00
DE147,216227.00
TR822,216362.00
DE922,216886.00
DEB35,217118.00
DEF03,217198.00
EL421,217241.00
AT124,217445.00
HU233,217463.00
UKH21,218045.00
BG323,218556.00
FI196,218624.00
FRB03,218810.00
ES241,219239.00
DE21C,219320.00
ITC34,219556.00
MK003,219571.00
TR823,219733.00
DEA35,219929.00
EL41,221098.00
ITF22,221238.00
ITI1A,221629.00
UKK14,222517.00
DE732,222584.00
PL637,222635.00
RS216,222907.00
TR413,223448.00
UKM81,223516.00
DE80L,224684.00
ITI22,225633.00
DEA14,227020.00
FRK13,227082.00
DE142,227331.00
FRJ26,227417.00
DED44,227796.00
MK005,227912.00
BG422,228141.00
IS001,228231.00
DE139,228639.00
BG412,229041.00
ITC49,230198.00
DE131,230241.00
LV009,230331.00
PT111,230954.00
DE124,231018.00
UKD47,231151.00
NL333,231157.00
UKD11,232618.00
PT16I,232849.00
FRC23,234401.00
EL611,234445.00
ITH44,234493.00
ITH37,234937.00
NL324,235141.00
BG321,235708.00
TRA12,236034.00
DE718,236564.00
DE734,236633.00
DE80N,236697.00
NL422,236702.00
PT185,237318.00
DE71A,237735.00
AT315,237884.00
DEE03,238697.00
DEE02,239257.00
LV003,240113.00
BG314,240380.00
FRI21,240870.00
RO413,241262.00
BE222,241849.00
TR715,241868.00
DED2E,242165.00
PT200,242846.00
PT20,242846.00
PT2,242846.00
DEF0F,243196.00
NO071,243385.00
NL224,244052.00
SE213,244670.00
UKL21,244891.00
SE321,245453.00
FI1D2,245602.00
DED2F,245611.00
UKL18,246217.00
DE724,246648.00
NL328,246730.00
AT121,246740.00
UKM77,246780.00
DED41,247237.00
DEF02,247548.00
TR812,248014.00
DE911,248292.00
EL653,248464.00
DK021,249359.00
SE332,250497.00
DEA43,250783.00
NO033,251084.00
UKM93,251307.00
DE276,251534.00
TR522,251913.00
PT16G,252220.00
DE933,252776.00
UKI32,253137.00
BE236,253163.00
HU222,253551.00
DE722,253777.00
PT300,253945.00
PT30,253945.00
PT3,253945.00
DEA29,254322.00
UKJ32,254361.00
UKD44,254791.00
DED2D,254894.00
NL327,254970.00
BG423,255479.00
RO315,256120.00
UKG23,256127.00
SI034,256359.00
DE114,257253.00
AT335,257436.00
UKH16,257538.00
ITI15,257716.00
DED52,257763.00
PL926,258576.00
FRC22,258611.00
UKF11,258746.00
ES424,258890.00
DE80J,259130.00
BE323,259175.00
LV005,260226.00
DEA57,260475.00
AT122,260480.00
DEA32,260654.00
DE21K,260983.00
UKE11,261149.00
FRJ28,261197.00
DEA15,261454.00
TR425,262234.00
UKG39,262242.00
ITG15,262458.00
LT026,262487.00
DE132,262795.00
PL843,263323.00
DEA26,263722.00
UKK41,264135.00
UKM71,265465.00
UKD12,265465.00
RO314,266194.00
AT224,266912.00
EL53,267008.00
RS211,267026.00
ITI19,267197.00
NO053,267420.00
FRF21,268178.00
HU223,268648.00
DE721,268876.00
FRY50,269471.00
FRY5,269471.00
DE715,269694.00
TR613,269926.00
UKI31,270016.00
SE331,270154.00
RO422,271292.00
UKJ12,271677.00
DEA2A,272471.00
DEF0B,272775.00
CH023,273194.00
SE125,273929.00
DE717,274526.00
AL021,274982.00
HR04B,275056.00
FI193,275521.00
UKD73,275562.00
DEF0D,276032.00
ITC32,276064.00
CH057,276472.00
DE925,276594.00
UKC12,276988.00
ITF32,277018.00
NL342,277533.00
UKH17,277633.00
UKC23,277733.00
DEA38,277783.00
DEA5A,278210.00
DE714,278342.00
RS122,278356.00
FRJ22,278703.00
RO112,278851.00
RS213,278943.00
FRD13,279304.00
PL623,280704.00
UKJ41,280894.00
EL612,281033.00
TRB13,281205.00
SE311,281482.00
NL421,282067.00
RS218,282309.00
BE251,282520.00
NO032,283148.00
HR031,283405.00
DEA2B,283455.00
FRY30,283539.00
FRY3,283539.00
UKG38,283663.00
DE148,284285.00
RO312,284299.00
PT16F,284492.00
DE138,285325.00
UKF12,285393.00
UKH25,285931.00
UKL17,286272.00
TRB24,286470.00
SE313,286547.00
TR711,286602.00
BE34,286685.00
DE141,286748.00
ITH51,287152.00
SE312,287191.00
AT211,287528.00
AT311,287640.00
CH032,288132.00
TRA22,288878.00
RO221,289537.00
AL012,290126.00
BE254,290930.00
UKC11,290998.00
BE231,291351.00
UKJ21,292169.00
ITI13,292473.00
UKL23,293370.00
AT11,293433.00
HU312,294609.00
SE122,294695.00
AL032,294747.00
CZ041,294896.00
DE271,295135.00
DE716,297399.00
NO031,297520.00
RS127,298099.00
TR714,298339.00
PL811,298352.00
DEA1E,298935.00
EL632,298996.00
ITF11,299031.00
FRB01,299060.00
HU212,299207.00
UKL15,299239.00
UKJ45,300082.00
DED2C,300880.00
HU232,301429.00
DEA5B,301902.00
SE124,302252.00
RO124,302308.00
AT342,302408.00
IE063,304163.00
RS217,304807.00
BG413,305123.00
ITF2,305617.00
FRG03,306083.00
DED43,306185.00
DE71E,306460.00
DEA47,306890.00
ES113,307841.00
ITF12,308052.00
UKH35,308522.00
HR042,309306.00
DE126,309370.00
FRF22,310063.00
DEA46,310710.00
DEA1B,310974.00
AT332,311428.00
TR424,311810.00
ITH41,312533.00
DE122,313092.00
ES230,313571.00
ES23,313571.00
EL431,313766.00
DE11D,314002.00
ITI33,314178.00
DEA33,314319.00
DEF09,314391.00
RO412,315494.00
BG344,316356.00
ITI41,317030.00
EE008,317240.00
DED45,317531.00
BE352,317552.00
LT023,317722.00
CH022,318714.00
ITF13,318909.00
UKC21,319010.00
UKH36,319145.00
UKG22,319189.00
UKM95,319317.00
UKI42,319821.00
UKG36,320320.00
RO226,320723.00
ITG18,320893.00
MK006,322298.00
UKD74,323266.00
SI032,324104.00
DEA56,324296.00
NL124,324653.00
RO121,325426.00
PL923,325475.00
DE949,325657.00
FRK22,326485.00
DEA22,327258.00
UKI34,327451.00
ES211,327682.00
DE91C,328074.00
UKI45,328244.00
UKG37,328774.00
PL636,328934.00
FRB05,329276.00
SE231,329352.00
ES112,329587.00
1-Dec,329708.00
ITG25,330211.00
AT126,330362.00
UKD46,330381.00
FRI14,331202.00
UKF14,331297.00
UKI72,331616.00
NL33B,331621.00
TRC34,331670.00
UKE13,331871.00
ES415,332234.00
RO115,332572.00
FRK11,333659.00
EL54,333696.00
DEA41,333786.00
RO317,334143.00
HU332,334264.00
FRC14,334302.00
UKI61,334536.00
ITI16,334832.00
PL219,335414.00
ITC43,337380.00
TR834,337508.00
DED42,337696.00
UKI54,338201.00
PL922,338306.00
ITH59,339017.00
UKE12,339625.00
UKM84,339746.00
UKD63,339824.00
UKI33,339909.00
HU213,341317.00
UKN06,341506.00
FRM0,341554.00
FRM,341554.00
AT127,342102.00
ITI18,342654.00
DE118,343068.00
UKL16,343280.00
UKE45,343932.00
CH012,343955.00
EL42,344027.00
UKI73,344837.00
BE212,344980.00
ITH56,345691.00
UKF25,346244.00
UKK21,348309.00
DEA45,348391.00
TR904,348608.00
DE21H,348871.00
TRB23,349396.00
UKF16,349566.00
FRI31,349643.00
RO415,350059.00
PL426,350291.00
UKM83,351257.00
CH070,353343.00
CH07,353343.00
DE71C,354092.00
DEA1A,354382.00
PL619,354937.00
ES412,355429.00
PT16B,356785.00
IS00,356991.00
IS0,356991.00
IS,356991.00
DE94E,357343.00
UKF21,357394.00
ITF63,358316.00
PL715,358822.00
ITI31,358886.00
ITC4A,358955.00
PL617,359520.00
